epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.79,1.57025,3.04321,1.76161,0.46752,0.42008,0.3963,0.20354,1.7689,2.06899,1.92412,0.000332957,0.000332957,0.000332957
2,260.429,1.59423,2.36446,1.76725,0.44384,0.41461,0.37583,0.18822,1.76685,2.03567,1.9041,0.000644302,0.000644302,0.000644302
3,388.025,1.61218,2.18151,1.76941,0.54317,0.3973,0.41374,0.2096,1.84834,1.92395,2.0088,0.000933648,0.000933648,0.000933648
4,516.101,1.59859,2.05417,1.76003,0.5979,0.48879,0.50919,0.25156,1.7372,1.77587,1.90855,0.000901,0.000901,0.000901
5,644.417,1.54022,1.90972,1.71074,0.63311,0.57478,0.61875,0.33077,1.64323,1.5689,1.81578,0.000868,0.000868,0.000868
6,772.518,1.49058,1.76828,1.66678,0.72039,0.55725,0.6445,0.34504,1.61044,1.44707,1.75179,0.000835,0.000835,0.000835
7,901.634,1.47222,1.68675,1.6458,0.67095,0.59162,0.6378,0.35216,1.55324,1.44172,1.70222,0.000802,0.000802,0.000802
8,1123.25,1.42645,1.6111,1.61563,0.74306,0.61074,0.70323,0.38665,1.53044,1.3381,1.68908,0.000769,0.000769,0.000769
9,1394.72,1.40648,1.55977,1.59894,0.77085,0.64331,0.73267,0.40938,1.51056,1.26279,1.64002,0.000736,0.000736,0.000736
10,1665.09,1.38126,1.50549,1.57645,0.74997,0.67622,0.74914,0.43223,1.48359,1.19517,1.64283,0.000703,0.000703,0.000703
11,1931.76,1.35724,1.44942,1.55739,0.79781,0.61351,0.72511,0.42904,1.45651,1.19428,1.61493,0.00067,0.00067,0.00067
12,2201.42,1.3387,1.37852,1.52881,0.76214,0.6693,0.7466,0.43673,1.47283,1.15794,1.62861,0.000637,0.000637,0.000637
13,2475.46,1.31183,1.34292,1.51518,0.78974,0.69244,0.77012,0.46157,1.44399,1.07315,1.58814,0.000604,0.000604,0.000604
14,2746.07,1.30577,1.31592,1.5021,0.8019,0.68884,0.77122,0.46898,1.40822,1.10097,1.55557,0.000571,0.000571,0.000571
15,2958.53,1.2821,1.26498,1.48616,0.80881,0.7404,0.80534,0.48536,1.40176,1.04731,1.53195,0.000538,0.000538,0.000538
16,3223.09,1.27412,1.23959,1.47805,0.82909,0.72674,0.8067,0.48638,1.38013,1.03917,1.52774,0.000505,0.000505,0.000505
17,3492.78,1.26001,1.20975,1.46863,0.82173,0.74904,0.81433,0.51,1.37683,0.99188,1.5137,0.000472,0.000472,0.000472
18,3765.12,1.24493,1.17715,1.4565,0.81867,0.73927,0.81475,0.5,1.3835,0.9911,1.5124,0.000439,0.000439,0.000439
19,4040.33,1.22314,1.16623,1.44592,0.82593,0.73532,0.81819,0.49703,1.36203,0.98774,1.51176,0.000406,0.000406,0.000406
20,4305.17,1.22175,1.14465,1.43506,0.85956,0.76895,0.83756,0.52433,1.36681,0.93483,1.49456,0.000373,0.000373,0.000373
21,4628.02,1.22776,0.89141,1.48273,0.84091,0.75061,0.82529,0.52472,1.33681,0.94978,1.47805,0.00034,0.00034,0.00034
22,4889.79,1.189,0.84056,1.45368,0.82545,0.75392,0.82529,0.52291,1.33002,0.94471,1.46497,0.000307,0.000307,0.000307
23,5153.81,1.15519,0.80635,1.4252,0.8409,0.77626,0.8376,0.54412,1.30628,0.89671,1.45161,0.000274,0.000274,0.000274
24,5417.77,1.13469,0.76899,1.40816,0.86873,0.75314,0.82885,0.5326,1.33027,0.92715,1.47108,0.000241,0.000241,0.000241
25,5670.96,1.10753,0.74336,1.39352,0.8618,0.76737,0.83609,0.54643,1.31909,0.8916,1.45841,0.000208,0.000208,0.000208
26,5937,1.08703,0.72236,1.36994,0.86227,0.76843,0.84169,0.55651,1.30969,0.85852,1.45353,0.000175,0.000175,0.000175
27,6202.34,1.05722,0.68954,1.34647,0.86605,0.80437,0.85818,0.56524,1.30005,0.8349,1.43675,0.000142,0.000142,0.000142
28,6471.4,1.03828,0.67348,1.33066,0.84773,0.80387,0.85807,0.56538,1.29062,0.83076,1.42886,0.000109,0.000109,0.000109
29,6737,1.01492,0.65927,1.31282,0.85728,0.79761,0.85538,0.57193,1.28352,0.81888,1.4239,7.6e-05,7.6e-05,7.6e-05
30,7001.17,0.99952,0.63957,1.30138,0.87877,0.79708,0.85829,0.57711,1.28291,0.80758,1.42309,4.3e-05,4.3e-05,4.3e-05
