epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,411.822,1.62492,2.51421,1.69999,0.6821,0.40527,0.43231,0.20982,1.80461,1.84754,1.89779,0.000370193,0.000370193,0.000370193
2,802.948,1.63707,1.91888,1.71494,0.54075,0.43762,0.46902,0.23829,1.75682,1.71283,1.83355,0.000716089,0.000716089,0.000716089
3,1184.57,1.62485,1.82314,1.69901,0.70258,0.49258,0.53559,0.28149,1.721,1.5604,1.79477,0.00103754,0.00103754,0.00103754
4,1563.48,1.57806,1.70017,1.66616,0.80485,0.49354,0.57324,0.30982,1.62062,1.35197,1.71079,0.00100101,0.00100101,0.00100101
5,1940.5,1.52527,1.59354,1.61898,0.80933,0.51565,0.62172,0.34204,1.60526,1.28181,1.67376,0.000964348,0.000964348,0.000964348
6,2318.24,1.48909,1.50834,1.59005,0.6356,0.5708,0.61723,0.34579,1.55182,1.19334,1.62679,0.000927685,0.000927685,0.000927685
7,2690.15,1.45423,1.44558,1.56132,0.66136,0.58717,0.64089,0.37492,1.47511,1.08674,1.55333,0.000891022,0.000891022,0.000891022
8,3063.1,1.42484,1.37893,1.53697,0.80731,0.62482,0.7112,0.40508,1.44196,1.03557,1.529,0.000854359,0.000854359,0.000854359
9,3435.87,1.40453,1.33366,1.51669,0.72211,0.66574,0.69163,0.40585,1.42483,1.01081,1.53078,0.000817696,0.000817696,0.000817696
10,3806.42,1.38156,1.29424,1.49749,0.80155,0.62522,0.70189,0.41072,1.41029,0.96433,1.51445,0.000781033,0.000781033,0.000781033
11,4177.69,1.36415,1.24689,1.48424,0.78864,0.6927,0.73791,0.4291,1.39792,0.93312,1.50168,0.00074437,0.00074437,0.00074437
12,4543.97,1.35002,1.22364,1.47371,0.75036,0.65321,0.72089,0.43573,1.36586,0.90687,1.46738,0.000707707,0.000707707,0.000707707
13,4907.44,1.33146,1.18051,1.45146,0.77355,0.67228,0.73123,0.43893,1.3776,0.88818,1.47799,0.000671044,0.000671044,0.000671044
14,5272.02,1.31509,1.14766,1.44144,0.7884,0.70982,0.75145,0.45164,1.33986,0.84362,1.44135,0.000634381,0.000634381,0.000634381
15,5640.84,1.30198,1.12525,1.43685,0.79419,0.65515,0.73946,0.45637,1.32381,0.83848,1.43129,0.000597718,0.000597718,0.000597718
16,6008.32,1.28294,1.08848,1.41695,0.85606,0.69601,0.7764,0.46404,1.32951,0.81336,1.43991,0.000561055,0.000561055,0.000561055
17,6377.13,1.27581,1.07656,1.41177,0.77686,0.69887,0.74796,0.45831,1.30287,0.80513,1.41143,0.000524392,0.000524392,0.000524392
18,6747.87,1.26089,1.05481,1.40175,0.82219,0.67323,0.73574,0.45868,1.28721,0.79437,1.39767,0.000487729,0.000487729,0.000487729
19,7117.26,1.24458,1.02263,1.38646,0.75326,0.69559,0.7295,0.45946,1.28606,0.77385,1.39601,0.000451066,0.000451066,0.000451066
20,7486.66,1.23233,1.00204,1.37727,0.72043,0.71224,0.72904,0.46717,1.26415,0.76024,1.37206,0.000414403,0.000414403,0.000414403
21,7898.18,1.22011,0.76603,1.38804,0.75755,0.65763,0.72092,0.4654,1.26129,0.75116,1.36745,0.00037774,0.00037774,0.00037774
22,8261.36,1.1977,0.72997,1.37505,0.79295,0.69908,0.75417,0.47654,1.24638,0.73921,1.35698,0.000341077,0.000341077,0.000341077
23,8627.87,1.1684,0.7023,1.3528,0.82578,0.69742,0.77137,0.4907,1.24255,0.72657,1.35404,0.000304414,0.000304414,0.000304414
24,8990.37,1.14906,0.67614,1.33976,0.76784,0.72683,0.75689,0.4877,1.23351,0.7089,1.34229,0.000267751,0.000267751,0.000267751
25,9353.38,1.12817,0.65594,1.32424,0.78792,0.69586,0.74537,0.48783,1.23025,0.70714,1.34166,0.000231088,0.000231088,0.000231088
26,9719.98,1.10644,0.63436,1.30545,0.78843,0.69627,0.75038,0.49027,1.22615,0.69698,1.33676,0.000194425,0.000194425,0.000194425
27,10088,1.08422,0.61638,1.28604,0.75396,0.73176,0.75969,0.49333,1.22486,0.69623,1.33346,0.000157762,0.000157762,0.000157762
28,10454.9,1.06781,0.59826,1.2752,0.76514,0.74218,0.7673,0.4934,1.21925,0.68745,1.33038,0.000121099,0.000121099,0.000121099
29,10821.3,1.05085,0.58336,1.2621,0.75738,0.71585,0.74513,0.49202,1.21892,0.68133,1.33312,8.4436e-05,8.4436e-05,8.4436e-05
30,11185.4,1.03258,0.57079,1.24869,0.82289,0.70267,0.76398,0.49871,1.2138,0.6801,1.32954,4.7773e-05,4.7773e-05,4.7773e-05
