epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,445.902,1.53571,2.79483,1.80657,0.41121,0.3515,0.30856,0.15763,1.97885,2.78171,2.51018,0.000554658,0.000554658,0.000554658
2,885.653,1.65083,2.36406,1.92491,0.38745,0.34423,0.32575,0.15414,2.08533,2.57375,2.54531,0.00107368,0.00107368,0.00107368
3,1359.47,1.63505,2.21293,1.93398,0.40464,0.35813,0.33288,0.17515,1.93705,2.31449,2.41151,0.00155604,0.00155604,0.00155604
4,1793.41,1.58994,2.10386,1.88452,0.57666,0.40016,0.44533,0.23131,1.94244,2.14351,2.30807,0.00150197,0.00150197,0.00150197
5,2219.69,1.49529,1.98452,1.83224,0.49284,0.44411,0.45634,0.25679,1.77088,1.98942,2.14288,0.00144696,0.00144696,0.00144696
6,2647.61,1.48045,1.88904,1.80069,0.58638,0.48153,0.53998,0.30519,1.71222,1.93656,2.07159,0.00139195,0.00139195,0.00139195
7,3076.22,1.43933,1.81598,1.77102,0.57727,0.55113,0.58468,0.3336,1.67143,1.75301,2.0486,0.00133693,0.00133693,0.00133693
8,3503.36,1.39925,1.74469,1.73207,0.64144,0.548,0.60225,0.34466,1.65016,1.65739,2.01805,0.00128192,0.00128192,0.00128192
9,3912.16,1.37022,1.63709,1.71293,0.67413,0.52924,0.61923,0.35387,1.66063,1.57249,2.00425,0.00122691,0.00122691,0.00122691
10,93.9425,1.37305,1.66258,1.6958,0.66536,0.55899,0.62758,0.35359,1.63102,1.57977,1.97731,0.0011719,0.0011719,0.0011719
11,183.553,1.33916,1.59404,1.6782,0.70333,0.61524,0.69662,0.4017,1.59234,1.46172,1.95348,0.00111689,0.00111689,0.00111689
12,271.703,1.29395,1.51487,1.64031,0.73581,0.63508,0.71995,0.40932,1.5507,1.41809,1.88347,0.00106188,0.00106188,0.00106188
13,354.785,1.29619,1.48031,1.62614,0.67991,0.62894,0.69604,0.40704,1.57027,1.4247,1.93808,0.00100687,0.00100687,0.00100687
14,437.863,1.24223,1.41624,1.60028,0.74529,0.65427,0.7447,0.43724,1.53069,1.31865,1.88242,0.000951857,0.000951857,0.000951857
15,521.347,1.25205,1.39541,1.60385,0.74453,0.65827,0.73668,0.43989,1.50202,1.30434,1.82776,0.000896846,0.000896846,0.000896846
16,605.865,1.2282,1.35438,1.57878,0.786,0.68092,0.7737,0.45361,1.51957,1.25727,1.8636,0.000841835,0.000841835,0.000841835
17,690.658,1.21216,1.32824,1.57088,0.76865,0.70232,0.78326,0.47459,1.45064,1.21355,1.79474,0.000786824,0.000786824,0.000786824
18,775.815,1.18666,1.27029,1.55176,0.8174,0.67893,0.78961,0.46697,1.47697,1.19692,1.81969,0.000731813,0.000731813,0.000731813
19,859.528,1.19403,1.29984,1.54437,0.80381,0.69867,0.79245,0.48139,1.45121,1.19237,1.76805,0.000676802,0.000676802,0.000676802
20,946.875,1.18035,1.26065,1.53503,0.84379,0.73324,0.83193,0.50229,1.43376,1.11176,1.75523,0.000621791,0.000621791,0.000621791
21,1061.61,1.24867,1.09739,1.65477,0.83662,0.72609,0.83461,0.50904,1.41422,1.11097,1.74504,0.00056678,0.00056678,0.00056678
22,1146.35,1.2115,1.03548,1.62324,0.83456,0.76712,0.85572,0.53285,1.38506,1.05621,1.71396,0.000511769,0.000511769,0.000511769
23,1229.41,1.18787,0.96524,1.61548,0.84855,0.7849,0.85762,0.53809,1.38369,1.02674,1.70275,0.000456758,0.000456758,0.000456758
24,1313.96,1.16057,0.93308,1.57079,0.8595,0.79248,0.87388,0.54354,1.39843,0.9946,1.70972,0.000401747,0.000401747,0.000401747
25,1397.2,1.14082,0.90644,1.54648,0.86907,0.78556,0.88353,0.55224,1.37732,0.96291,1.68006,0.000346736,0.000346736,0.000346736
26,1481.31,1.10667,0.86902,1.53137,0.85586,0.80106,0.88223,0.55393,1.36709,0.9534,1.66847,0.000291725,0.000291725,0.000291725
27,1565.34,1.1052,0.84249,1.5233,0.87065,0.80242,0.88847,0.56868,1.32783,0.93678,1.63407,0.000236714,0.000236714,0.000236714
28,1650.03,1.0836,0.79896,1.49646,0.88828,0.81195,0.90039,0.57384,1.33741,0.89874,1.63868,0.000181703,0.000181703,0.000181703
29,1733.86,1.06011,0.77683,1.48394,0.89778,0.7968,0.8992,0.57915,1.33055,0.88954,1.63281,0.000126692,0.000126692,0.000126692
30,1816.16,1.04354,0.75498,1.46658,0.89404,0.82158,0.90656,0.58524,1.32086,0.86302,1.61837,7.1681e-05,7.1681e-05,7.1681e-05
